article_id‰full_name‰gender
f149fdeb883c4797ef39ee251f869e6a‰Álvaro Ardura‰male
f149fdeb883c4797ef39ee251f869e6a‰Daniel Sorando‰male
31622b52fcc498ded3850cbf935f00f4‰Ulises Ruiz Basurto‰male
31622b52fcc498ded3850cbf935f00f4‰Johann-Dietrich Woerner‰unknown
62fd567c018f337a2d5c051b23c60e9a‰Abu Mazen‰male
62fd567c018f337a2d5c051b23c60e9a‰Mahmud Abbas‰male
62fd567c018f337a2d5c051b23c60e9a‰Yossi Melman‰male
3b0013098347b1dec647060ad1c7a124‰Daniel González de la Vega‰male
3b0013098347b1dec647060ad1c7a124‰Conrad Wolfram‰male
3b0013098347b1dec647060ad1c7a124‰González de la Vega‰unknown
3b0013098347b1dec647060ad1c7a124‰Eric Raptosh‰male
822ffb444e5a3a2d7790fe91aa8242cd‰Carl Schmitt‰male
d03d334b3526d86d4dcd05482d9729c6‰Sergio Gálvez‰male
a5dd69c603906c54898a5dfacb657e69‰Cristina Kirchner‰female
a5dd69c603906c54898a5dfacb657e69‰Cristina Fernández de Kirchner‰female
40a4559a9698869ecdc48e4c32ecca12‰Conchi Maximiano‰unknown
e048b06400ceb23e1e1e6c6fc259545f‰Raphaël Millon‰male
f6082b3d9f0f810382e20ba0181e28eb‰José Ignacio Torreblanca‰male
f6082b3d9f0f810382e20ba0181e28eb‰Adela Cortina‰female
14e2976bf58d71829803a1c3fcecdad6‰Verne Sergio Rodríguez‰male
14e2976bf58d71829803a1c3fcecdad6‰Antón Álvarez‰male
612e74ffc0634b6378303bac4aea645a‰Mark Browne‰male
612e74ffc0634b6378303bac4aea645a‰Mark Anthony Browne‰male
ec58d4cccf1e481d0e84c515f0020f1e‰Benito Arruñada‰male
5d3768e352b8c7b49741500eaeae3501‰Máximo Blanco‰unknown
5d3768e352b8c7b49741500eaeae3501‰Florentino Felgueroso‰male
5d3768e352b8c7b49741500eaeae3501‰José Ignacio Conde‰male
5d3768e352b8c7b49741500eaeae3501‰Salvador del Rey‰male
5d3768e352b8c7b49741500eaeae3501‰Raymond Torres‰male
5d3768e352b8c7b49741500eaeae3501‰Edward F Buffie‰male
5d3768e352b8c7b49741500eaeae3501‰Andrew Berg‰male
35ddd6578cbccaaa2203d95f88906a95‰Francesca Chaouqui‰female
cd42e00989b17abad578ab8757e5f349‰Manuel Amador‰male
6af80637369fee32b293d206797c7fe3‰Irène Frachon‰female
796a92f294894ce7e16e73a3d511a3d3‰Ángel M Sánchez‰male
b0ab4f7058f972726fef33bae4e29216‰Francis Drake‰male
b0ab4f7058f972726fef33bae4e29216‰Nan Rendong‰female
b0ab4f7058f972726fef33bae4e29216‰Carl Sagan‰male
aa4f6276108ae1a5402f83cb64fe95a5‰John Steele‰male
5529a4af86e2c862e4efebbc8576657b‰Daphne Koller‰female
3f28569b5ab836f2584932cbd690981e‰Carlos Quevedo‰male
e5fe25e165eaf9f2c4df18bcde47bc33‰Kristen E Lyons‰female
e5fe25e165eaf9f2c4df18bcde47bc33‰Jennifer DeLange‰female
b78d801af17f8b185dd55fdbcd05f3a5‰Luis Aragonés‰male
b78d801af17f8b185dd55fdbcd05f3a5‰Wanda Metropolitano‰female
b78d801af17f8b185dd55fdbcd05f3a5‰Vicente Calderón‰male
240891886ed5b812a662288c6e38ea46‰Edward Snowden‰male
240891886ed5b812a662288c6e38ea46‰Oliver Stone‰male
240891886ed5b812a662288c6e38ea46‰Carlos Hergueta‰male
1b3e101960ba5bd08dc87bd03efff7f8‰Carme Junyent‰female
1b3e101960ba5bd08dc87bd03efff7f8‰Gabriel Bibiloni‰male
e820ef2a7db1b948e896da7f5f810523‰Gustavo Entrala‰male
e820ef2a7db1b948e896da7f5f810523‰José Pablo Ferrándiz‰male
5ab779aba75dd5f20f2fb9124e310497‰Paula Calvo Soler‰female
44390b24c8a1bd62fe8aaf518837a5b5‰la Malinche‰unknown
44390b24c8a1bd62fe8aaf518837a5b5‰Rodrigo Escribano‰male
44390b24c8a1bd62fe8aaf518837a5b5‰Xavier Aguirre‰male
5c3c8438e3f567d39a05fa071f988262‰Marcelo Odebrecht‰male
b511955bcc838b27680bc2a4d7f48842‰Facundo Manes‰male
36e379b5c1cad585d4ac67ffbd31ee9b‰Rodrigo Rato‰male
8646c778e4a5827466506c30abc29a83‰Turid Rugaas‰female
8646c778e4a5827466506c30abc29a83‰Juan Antonio Aguado‰male
8646c778e4a5827466506c30abc29a83‰Sadahiko Nakajima‰unknown
8646c778e4a5827466506c30abc29a83‰Jack Russell‰male
8646c778e4a5827466506c30abc29a83‰Gregory Burns‰male
4c927c2b0f8517d496a026dfcbd89f3e‰Sánchez Ortega‰unknown
7457a43e7a47ecba988a4f2a396a8648‰Joan Boneta‰female
acd14b40aa111fce7a1518322b2cfe0a‰Rowan Williams‰male
acd14b40aa111fce7a1518322b2cfe0a‰Richard Dawkins‰male
acd14b40aa111fce7a1518322b2cfe0a‰Jean Decety‰male
aa0e737068d087f7df784386b7a2f1f3‰Larry Mullen Jr‰male
aa0e737068d087f7df784386b7a2f1f3‰Danny De Vito‰male
aa0e737068d087f7df784386b7a2f1f3‰Arnold Schwarzeneger‰male
aa0e737068d087f7df784386b7a2f1f3‰Adam Clayton‰male
ebba9b2caa5073748545d94406cb2457‰Mari Pepi‰female
